Node Name;Level
UCBKL;1
COLLE;2
CENVD;3
DACED;4
DACE5;5
DACE6;6
DBARC;4
DBAR5;5
DBAR6;6
DCCRP;4
DCCR5;5
DCCR6;6
DFLAE;4
DFLA5;5
DFLA6;6
CO1NR;3
MANRD;4
MACFS;5
MACF6;6
MADDF;5
MADD6;6
MAOPS;5
MAOP6;6
MBARC;4
MBAGS;5
MBAG6;6
MBINR;5
MBIN6;6
MCESP;4
MCECO;5
MCEAG;6
MCEIN;6
MCES5;5
MCES6;6
MCESD;5
MCRAG;6
MCRIN;6
MCINS;5
MCIAG;6
MCIIN;6
MDNST;4
MDNS5;5
MDNS6;6
MEPMB;4
MEGEN;5
MEGE6;6
MEMIC;5
MEMAG;6
MEMIN;6
MEPLT;5
MEBAG;6
MEBIN;6
MEPM5;5
MEPM6;6
MGERG;4
MGER5;5
MGER6;6
COCHM;3
CCHEM;4
CCCHE;5
CCCH6;6
CDCDN;4
CDDOF;5
CDDO6;6
CDSVS;5
CDRCG;6
CDSBU;6
CDSEF;6
CEEEG;4
CEEE5;5
CEEE6;6
COENG;3
EDDNO;4
ED1CR;5
ED1C6;6
ED1DO;5
ED1D6;6
EDCFI;5
EDCF6;6
EDESS;5
EDES6;6
EDMET;5
EDME6;6
EERES;4
EEBRS;5
EEBR6;6
EERCG;5
EERG6;6
EERCT;5
EERC6;6
EFBIO;4
EF1BO;5
EF1B6;6
EF1JG;5
EF1J6;6
EF1SF;5
EF1S6;6
EGCEE;4
EGCE5;5
EGCE6;6
EHEEC;4
EH1CS;5
EH1C6;6
EH1EE;5
EH1E6;6
EH1EO;5
EH1O6;6
EH1RC;5
EH1R6;6
EIIEO;4
EIIE5;5
EIIE6;6
EJMSM;4
EJMS5;5
EJMS6;6
EKMEG;4
EKJDI;5
EKJD6;6
EKMEO;5
EKME6;6
ELNUC;4
ELNU5;5
ELNU6;6
HXRFS;4
HXRF5;5
HXRF6;6
NCEER;4
NC1AD;5
NC1A6;6
NC1EX;5
NC1E6;6
NC1PR;5
NC1P6;6
NCEE5;5
NCEE6;6
NFEEH;4
NFEE5;5
NFEE6;6
NFRES;5
NFRE6;6
COLLS;2
COL1S;3
QALSD;4
QADAD;5
QADA6;6
QADFA;5
QADF6;6
QADRS;5
QADR6;6
LS1BS;3
CNCND;4
CNCN5;5
CNCN6;6
IABSS;4
IAADM;5
IAAD6;6
IBIBI;4
IBADM;5
IBAD6;6
IBSTD;6
IBBTL;5
IBBT6;6
IBFAC;5
IBFA6;6
IBRCH;5
IBRC6;6
IBRES;5
IBRE6;6
IDBSD;4
IDADM;5
IDAD6;6
IDDSS;6
IDFAC;5
IDVSL;6
IDKSB;6
IGIGI;4
IGADM;5
IGAD6;6
IGRES;5
IGRE6;6
IMMCB;4
IMADM;5
IMAD6;6
IMMSS;6
IMFAC;5
IMFA6;6
IMMTL;5
IMMT6;6
IMRES;5
IMRE6;6
IMRSV;5
IMRS6;6
IPPEP;4
IPPTL;5
IPPT6;6
ITEML;4
ITRSV;5
ITRS6;6
NKCRL;4
NKADM;5
NKAD6;6
NKRSV;5
NKRS6;6
LS1HU;3
CRTHE;4
CRCTL;5
CRCT6;6
DMEDL;4
DMMTL;5
DMMT6;6
HARTH;4
HAADM;5
HAAD6;6
HAATL;5
HAAT6;6
HAVRC;6
HARES;5
HARE6;6
HBBLC;4
HBADM;5
HBAD6;6
HBBTL;5
HBBT6;6
HBCRS;5
HBCR6;6
HCPHI;4
HCADM;5
HCAD6;6
HCPTL;5
HCPT6;6
HCRES;5
HCRE6;6
HDRAM;4
HDADM;5
HDAD6;6
HDRES;5
HDRE6;6
HDTLT;5
HDTL6;6
HENGL;4
HEADM;5
HEAD6;6
HEETL;5
HEET6;6
HERES;5
HERE6;6
HFREN;4
HFADM;5
HFAD6;6
HFFTL;5
HFFT6;6
HFRES;5
HFRE6;6
HGEAL;4
HGADM;5
HGAD6;6
HGATL;5
HGAT6;6
HGRES;5
HGRE6;6
HHDNO;4
HHADM;5
HHAD6;6
HHDSS;6
HHRES;5
HHRE6;6
HITAL;4
HIADM;5
HIAD6;6
